fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0010183299389002036,0.99
0.0,0.002036659877800407,0.9826666666666667
0.0,0.004073319755600814,0.9783333333333334
0.0,0.006109979633401222,0.9757777777777776
0.0003313452617627568,0.006109979633401222,0.9721666666666667
0.0003313452617627568,0.014256619144602852,0.9603333333333333
0.0006626905235255136,0.015274949083503055,0.96
0.0006626905235255136,0.035641547861507125,0.9404166666666667
0.0009940357852882703,0.035641547861507125,0.9371666666666666
0.0009940357852882703,0.03665987780040733,0.9348333333333333
0.0009940357852882703,0.038696537678207736,0.9338333333333334
0.0009940357852882703,0.05702647657841141,0.9216666666666667
0.0013253810470510272,0.05702647657841141,0.9214761904761904
0.0013253810470510272,0.062118126272912425,0.9191666666666667
0.0016567263088137839,0.062118126272912425,0.919
0.0016567263088137839,0.06415478615071284,0.9179999999999998
0.0016567263088137839,0.06619144602851323,0.9159999999999999
0.0016567263088137839,0.07026476578411406,0.9108333333333336
0.0023194168323392977,0.07026476578411406,0.9105
0.0023194168323392977,0.07535641547861507,0.9061666666666666
0.0026507620941020544,0.07535641547861507,0.9058333333333333
0.0026507620941020544,0.0824847250509165,0.8995238095238095
0.0026507620941020544,0.0845213849287169,0.8993333333333333
0.0033134526176275677,0.0845213849287169,0.897
0.0033134526176275677,0.08859470468431772,0.8952460317460316
0.003644797879390325,0.08859470468431772,0.8938571428571427
0.003644797879390325,0.08961303462321792,0.8935
0.003976143141153081,0.08961303462321792,0.8925
0.003976143141153081,0.09368635437881874,0.8898333333333334
0.004307488402915839,0.09368635437881874,0.8885714285714288
0.004307488402915839,0.09572301425661914,0.8866666666666666
0.004970178926441352,0.09572301425661914,0.8841666666666668
0.004970178926441352,0.09775967413441955,0.8836666666666667
0.005301524188204109,0.09775967413441955,0.8832976190476189
0.005301524188204109,0.10081466395112017,0.8816666666666667
0.006295559973492379,0.10081466395112017,0.8808333333333335
0.006295559973492379,0.1079429735234216,0.8743333333333335
0.0066269052352551355,0.1079429735234216,0.8741666666666665
0.0066269052352551355,0.11608961303462322,0.8673333333333333
0.00728959575878065,0.11608961303462322,0.8670714285714287
0.00728959575878065,0.13136456211812628,0.8561666666666667
0.007620941020543406,0.13136456211812628,0.8550714285714285
0.007620941020543406,0.1334012219959267,0.8543333333333333
0.007952286282306162,0.1334012219959267,0.8541666666666667
0.007952286282306162,0.14052953156822812,0.8514999999999999
0.00828363154406892,0.14052953156822812,0.8509166666666667
0.00828363154406892,0.15478615071283094,0.8450833333333333
0.008614976805831677,0.15478615071283094,0.8430952380952382
0.008614976805831677,0.159877800407332,0.8375714285714285
0.008946322067594433,0.159877800407332,0.8371666666666667
0.008946322067594433,0.164969450101833,0.8346666666666668
0.00927766732935719,0.164969450101833,0.8344999999999998
0.00927766732935719,0.1659877800407332,0.8341666666666667
0.009940357852882704,0.1659877800407332,0.8330000000000001
0.009940357852882704,0.1690427698574338,0.831738095238095
0.01027170311464546,0.1690427698574338,0.8314761904761905
0.01027170311464546,0.17413441955193482,0.8289642857142856
0.010603048376408217,0.17413441955193482,0.8284166666666668
0.010603048376408217,0.17820773930753564,0.8253611111111111
0.010934393638170975,0.17820773930753564,0.8249166666666666
0.010934393638170975,0.18126272912423624,0.8234047619047619
