precision,recall,threshold
0.28,1.0,0.0
0.3171007927519819,1.0,0.00339622641509434
0.31746031746031744,1.0,0.004615384615384615
0.3178206583427923,1.0,0.004615384615384616
0.3185437997724687,1.0,0.005625
0.3236994219653179,1.0,0.00631578947368421
0.3252032520325203,1.0,0.0072
0.33573141486810554,1.0,0.007941176470588234
0.33653846153846156,1.0,0.007941176470588236
0.3373493975903614,1.0,0.008372093023255815
0.3389830508474576,1.0,0.008852459016393442
0.3402187120291616,1.0,0.009113924050632912
0.340632603406326,1.0,0.009278350515463918
0.34146341463414637,1.0,0.01
0.35443037974683544,1.0,0.01125
0.3548795944233207,1.0,0.011337402885682578
0.3553299492385787,1.0,0.011815384615384615
0.35578144853875476,1.0,0.012674576930558259
0.356234096692112,1.0,0.012825
0.3594351732991014,1.0,0.013566176470588236
0.35989717223650386,1.0,0.013997093023255816
0.36175710594315247,1.0,0.0144
0.3645833333333333,1.0,0.014477459016393444
0.3650586701434159,1.0,0.014615384615384617
0.36553524804177545,1.0,0.015141176470588236
0.3660130718954248,1.0,0.015625
0.3684210526315789,1.0,0.01605245901639344
0.3689064558629776,1.0,0.01631392405063291
0.36939313984168864,1.0,0.01631578947368421
0.36988110964332893,1.0,0.01655617408906883
0.37037037037037035,1.0,0.0172
0.37383177570093457,1.0,0.017486017073888728
0.37433155080213903,1.0,0.017941176470588235
0.3748326639892905,1.0,0.018372093023255816
0.3768506056527591,1.0,0.01845
0.3783783783783784,1.0,0.018852459016393444
0.37889039242219213,1.0,0.01902122641509434
0.3794037940379404,1.0,0.019278350515463918
0.37991858887381275,1.0,0.02
0.3840877914951989,1.0,0.020025
0.38461538461538464,1.0,0.02022696752889378
0.38514442916093533,1.0,0.02024038461538462
0.38620689655172413,1.0,0.02059622641509434
0.3867403314917127,1.0,0.0216
0.3872752420470263,1.0,0.021677459016393445
0.3878116343490305,1.0,0.021815384615384615
0.3883495145631068,1.0,0.022824999999999998
0.3888888888888889,1.0,0.023630769230769233
0.3894297635605007,1.0,0.023997093023255815
0.38997214484679665,1.0,0.024153428093645485
0.3905160390516039,1.0,0.024477459016393442
0.39106145251396646,1.0,0.024687882496940025
0.3916083916083916,1.0,0.025110136501516687
0.39215686274509803,1.0,0.025166383067026354
0.39270687237026647,1.0,0.025625
0.39325842696629215,1.0,0.026215384615384613
0.39381153305203936,1.0,0.026313924050632913
0.39436619718309857,1.0,0.0272
0.39603960396039606,1.0,0.027602862254025043
0.39660056657223797,1.0,0.027966176470588237
0.3971631205673759,1.0,0.028372093023255815
0.39829302987197723,1.0,0.0288
0.39886039886039887,1.0,0.029039936655033873
0.39942938659058486,1.0,0.03
0.4005722460658083,1.0,0.030024999999999996
0.40114613180515757,1.0,0.030107093821510292
0.4017216642754663,1.0,0.030240384615384617
0.40229885057471265,1.0,0.030566935483870968
0.4028776978417266,1.0,0.031197093023255813
0.4034582132564842,1.0,0.0316
0.40404040404040403,1.0,0.03236918604651163
0.4046242774566474,1.0,0.032772093023255816
0.40520984081041966,1.0,0.032825
0.40638606676342526,1.0,0.03325245901639344
0.4069767441860465,1.0,0.03356617647058823
0.40816326530612246,1.0,0.03391304347826087
0.40875912408759124,1.0,0.03439999999999999
0.4093567251461988,1.0,0.03461538461538462
0.40995607613469986,1.0,0.03565
0.41055718475073316,1.0,0.03588497552019584
0.4111600587371512,1.0,0.03633826949384405
0.4117647058823529,1.0,0.03658117408906882
0.41237113402061853,1.0,0.03676918604651162
0.41297935103244837,1.0,0.03722455203964926
0.41420118343195267,1.0,0.037387477638640434
0.4148148148148148,1.0,0.038397093023255814
0.41543026706231456,1.0,0.03845
0.4160475482912333,1.0,0.03908601707388872
0.4166666666666667,1.0,0.039303350515463915
0.4172876304023845,1.0,0.04
0.417910447761194,1.0,0.04018747763864043
0.41853512705530643,1.0,0.04114418604651163
0.41916167664670656,1.0,0.041222093023255815
0.4197901049475262,1.0,0.0416
0.42105263157894735,1.0,0.041815384615384615
0.42168674698795183,1.0,0.042556561085972854
0.42232277526395173,1.0,0.04277209302325582
0.4229607250755287,1.0,0.04351326949384405
0.4236006051437216,1.0,0.04351578947368421
0.42424242424242425,1.0,0.04380180654757294
0.424886191198786,1.0,0.045625
0.4268292682926829,1.0,0.0472
0.42748091603053434,1.0,0.05
0.42813455657492355,1.0,0.05002499999999999
0.4294478527607362,1.0,0.050049552039649246
0.43010752688172044,1.0,0.05041631059058551
0.4307692307692308,1.0,0.052825
0.43209876543209874,1.0,0.052874552039649254
0.4327666151468315,1.0,0.05295342809364548
0.43343653250773995,1.0,0.054686017073888725
0.43410852713178294,1.0,0.055329308666017527
0.43478260869565216,1.0,0.05696435645036579
0.4354587869362364,1.0,0.0588
0.43613707165109034,1.0,0.06007455203964925
0.43681747269890797,1.0,0.0634542199488491
0.4375,1.0,0.06428010052122116
0.4381846635367762,1.0,0.06450245901639344
0.438871473354232,1.0,0.06468993665503388
0.43956043956043955,1.0,0.06819188963210703
0.44025157232704404,1.0,0.06913826949384405
0.4409448818897638,1.0,0.07179331943835016
0.4416403785488959,1.0,0.072825
0.4423380726698262,1.0,0.07308311009714455
0.4430379746835443,1.0,0.07405284810126583
0.4437400950871632,1.0,0.07633847609028216
0.4444444444444444,1.0,0.07695666368515205
0.4451510333863275,1.0,0.07806116307012821
0.445859872611465,1.0,0.07863747763864043
0.44657097288676234,1.0,0.08159664506290508
0.4472843450479233,1.0,0.08229823747113704
0.448,1.0,0.08277119414724197
0.44871794871794873,1.0,0.08282499999999998
0.449438202247191,1.0,0.08287455203964926
0.45016077170418006,1.0,0.08387368543148778
0.45088566827697263,1.0,0.08476326949384404
0.45161290322580644,1.0,0.0860413105905855
0.4507269789983845,0.9964285714285714,0.0860515966242801
0.45145631067961167,0.9964285714285714,0.08668513650151669
0.4521880064829822,0.9964285714285714,0.08700957066189624
0.45292207792207795,0.9964285714285714,0.08867965256087039
0.45365853658536587,0.9964285714285714,0.08889423076923077
0.4543973941368078,0.9964285714285714,0.09079034151333344
0.4551386623164764,0.9964285714285714,0.09150903796376186
0.45588235294117646,0.9964285714285714,0.09486638306702636
0.45662847790507366,0.9964285714285714,0.09521628145274492
0.45737704918032784,0.9964285714285714,0.09691396945346177
0.458128078817734,0.9964285714285714,0.09885245901639345
0.4588815789473684,0.9964285714285714,0.10056607184928484
0.4596375617792422,0.9964285714285714,0.10081638306702635
0.4603960396039604,0.9964285714285714,0.10083076923076924
0.46115702479338844,0.9964285714285714,0.10131362208652166
0.46192052980132453,0.9964285714285714,0.10193788249694002
0.4626865671641791,0.9964285714285714,0.10313442496066588
0.46179401993355484,0.9928571428571429,0.10475052582748162
0.46256239600665555,0.9928571428571429,0.10554414132379249
0.4633333333333333,0.9928571428571429,0.1060491040792985
0.46410684474123537,0.9928571428571429,0.10699187643020597
0.46488294314381273,0.9928571428571429,0.10857798013329473
0.4656616415410385,0.9928571428571429,0.10858826616698933
0.4664429530201342,0.9928571428571429,0.11023206854345163
0.46554621848739497,0.9892857142857143,0.11086999579009454
0.4663299663299663,0.9892857142857143,0.11354301055959444
0.4671163575042159,0.9892857142857143,0.1141828685209435
0.46790540540540543,0.9892857142857143,0.11617991803278689
0.4686971235194585,0.9892857142857143,0.11839709302325581
0.4694915254237288,0.9892857142857143,0.11898986190207601
0.4702886247877759,0.9892857142857143,0.12271627906976745
0.4710884353741497,0.9892857142857143,0.12317793703124359
0.47189097103918226,0.9892857142857143,0.12473556911353798
0.4726962457337884,0.9892857142857143,0.12547125013048582
0.4735042735042735,0.9892857142857143,0.12751101707388873
0.4743150684931507,0.9892857142857143,0.13109615384615386
0.4751286449399657,0.9892857142857143,0.13387364070876864
0.47594501718213056,0.9892857142857143,0.1345419801448884
0.47676419965576594,0.9892857142857143,0.1346499436960478
