threshold,accuracy,precision,recall,f1,false_negative_rate,true_positive,false_positive,true_negative,false_negative
0.1,0.61175,0.38693069306930694,0.994908350305499,0.5571713715426291,0.0050916496945010185,977,1548,1470,5
0.2,0.65825,0.4169900819318672,0.984725050916497,0.5858830657376553,0.015274949083503055,967,1352,1666,15
0.3,0.7115,0.4582118561710398,0.960285132382892,0.6203947368421052,0.03971486761710794,943,1115,1903,39
0.4,0.77025,0.5185621685327048,0.8961303462321792,0.6569615528182158,0.10386965376782077,880,817,2201,102
0.5,0.80275,0.574173712528824,0.7606924643584522,0.6544021024967148,0.23930753564154786,747,554,2464,235
0.6,0.81375,0.6332958380202475,0.5733197556008147,0.6018172100481026,0.42668024439918534,563,326,2692,419
0.7,0.8135,0.7350597609561753,0.3757637474541752,0.4973045822102426,0.6242362525458248,369,133,2885,613
0.8,0.79575,0.8044280442804428,0.2219959266802444,0.3479648842777334,0.7780040733197556,218,53,2965,764
0.9,0.772,0.9069767441860465,0.07942973523421588,0.14606741573033707,0.9205702647657841,78,8,3010,904
