bin_lower,bin_upper,count,mean_predicted_probability,observed_positive_rate
0.0,0.1,392,0.019229701088262042,0.002551020408163265
0.1,0.2,98,0.1512457152156407,0.1836734693877551
0.2,0.30000000000000004,96,0.2535491056920288,0.23958333333333334
0.30000000000000004,0.4,76,0.3518593312393185,0.3157894736842105
0.4,0.5,77,0.4420270092847998,0.45454545454545453
0.5,0.6000000000000001,73,0.5478127817708265,0.589041095890411
0.6000000000000001,0.7000000000000001,56,0.6513949506869267,0.5535714285714286
0.7000000000000001,0.8,52,0.7430326850576107,0.6538461538461539
0.8,0.9,50,0.8518727456726536,0.88
0.9,1.0,30,0.9303072930082303,0.9
