object_key,designation,actual_label,predicted_label,predicted_probability,model_name,feature_set,model_family,correct,confidence_bucket,risk_score_0_100,risk_category,notes,graph_model_name,node_embedding_dimension,neighbor_context_used,prediction_mode,training_strategy,leakage_risk,evidence_role
20154658,154658,0,1,0.556644312821472,logistic_regression,orbital_only,tabular,False,low,30.030996,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163758,163758,0,1,0.5041606540776744,logistic_regression,orbital_only,tabular,False,low,35.211542,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20187026,187026,0,1,0.5349092470952791,logistic_regression,orbital_only,tabular,False,low,31.209693,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20192642,192642,0,1,0.707229585880041,logistic_regression,orbital_only,tabular,False,medium,35.544988,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20002212,2212,0,1,0.7994864987689598,logistic_regression,orbital_only,tabular,False,medium,31.733197,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20003554,3554,0,1,0.6178700182313474,logistic_regression,orbital_only,tabular,False,low,24.858528,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20006063,6063,0,1,0.7529135456495442,logistic_regression,orbital_only,tabular,False,medium,24.986447,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20006611,6611,0,1,0.5681176209342214,logistic_regression,orbital_only,tabular,False,low,24.319139,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20010165,10165,0,1,0.5862069240049536,logistic_regression,orbital_only,tabular,False,low,18.748453,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20022771,22771,0,1,0.6604698099983665,logistic_regression,orbital_only,tabular,False,medium,33.351484,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20066063,66063,0,1,0.7072330267445412,logistic_regression,orbital_only,tabular,False,medium,33.127246,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20066400,66400,0,1,0.6379861885213123,logistic_regression,orbital_only,tabular,False,low,21.144279,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20086450,86450,0,1,0.6460774653164935,logistic_regression,orbital_only,tabular,False,low,30.12733,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20087311,87311,0,1,0.6217902959119134,logistic_regression,orbital_only,tabular,False,low,24.00789,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20108906,108906,0,1,0.5114224411812924,logistic_regression,orbital_only,tabular,False,low,29.399474,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137084,137084,0,1,0.5402295404402209,logistic_regression,orbital_only,tabular,False,low,20.218896,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20139289,139289,0,1,0.6751111475957842,logistic_regression,orbital_only,tabular,False,medium,22.98259,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20141052,141052,0,1,0.6850995303397146,logistic_regression,orbital_only,tabular,False,medium,32.168035,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20141498,141498,0,1,0.6153601201949579,logistic_regression,orbital_only,tabular,False,low,31.065263,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20152941,152941,0,1,0.7096885271499174,logistic_regression,orbital_only,tabular,False,medium,21.236048,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154715,154715,0,1,0.6805239754107727,logistic_regression,orbital_only,tabular,False,medium,31.957702,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20155336,155336,0,1,0.7067478774356767,logistic_regression,orbital_only,tabular,False,medium,33.500792,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162913,162913,0,1,0.7020264094408704,logistic_regression,orbital_only,tabular,False,medium,29.581578,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163454,163454,0,1,0.6338840705350423,logistic_regression,orbital_only,tabular,False,low,18.481722,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20164184,164184,0,1,0.7105360172111803,logistic_regression,orbital_only,tabular,False,medium,31.755673,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20205744,205744,0,1,0.7161533481064029,logistic_regression,orbital_only,tabular,False,medium,34.116393,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20223456,223456,0,1,0.5491547999644958,logistic_regression,orbital_only,tabular,False,low,29.267768,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20225586,225586,0,1,0.6749010195182936,logistic_regression,orbital_only,tabular,False,medium,30.860341,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20225900,225900,0,1,0.6966473230218466,logistic_regression,orbital_only,tabular,False,medium,30.946557,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20228502,228502,0,1,0.7856302728231804,logistic_regression,orbital_only,tabular,False,medium,17.827714,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20234341,234341,0,1,0.5212732152325842,logistic_regression,orbital_only,tabular,False,low,18.879797,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20003838,3838,0,1,0.6802176085502039,logistic_regression,orbital_only,tabular,False,medium,33.718477,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20005590,5590,0,1,0.7703295406260801,logistic_regression,orbital_only,tabular,False,medium,31.338412,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20010145,10145,0,1,0.8048719685913976,logistic_regression,orbital_only,tabular,False,medium,33.389827,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20065733,65733,0,1,0.8415868415379774,logistic_regression,orbital_only,tabular,False,medium,31.750338,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20066146,66146,0,1,0.748664479004651,logistic_regression,orbital_only,tabular,False,medium,28.006727,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20068348,68348,0,1,0.7522119344814606,logistic_regression,orbital_only,tabular,False,medium,26.994453,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20086829,86829,0,1,0.7106886869934329,logistic_regression,orbital_only,tabular,False,medium,23.123956,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20096590,96590,0,1,0.6823925847817578,logistic_regression,orbital_only,tabular,False,medium,21.205744,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20098943,98943,0,1,0.7595330711251577,logistic_regression,orbital_only,tabular,False,medium,29.45929,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137099,137099,0,1,0.5182698538822001,logistic_regression,orbital_only,tabular,False,low,17.66839,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137170,137170,0,1,0.5052241244192566,logistic_regression,orbital_only,tabular,False,low,32.911673,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138013,138013,0,1,0.7098003246855843,logistic_regression,orbital_only,tabular,False,medium,28.635853,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138258,138258,0,1,0.5521660507607024,logistic_regression,orbital_only,tabular,False,low,33.705707,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20143637,143637,0,1,0.5695388055358357,logistic_regression,orbital_only,tabular,False,low,32.55082,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154268,154268,0,1,0.5035130570754762,logistic_regression,orbital_only,tabular,False,low,29.882512,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162433,162433,0,1,0.5952897521969853,logistic_regression,orbital_only,tabular,False,low,32.075499,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
